Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2017-04-27,6.25,7.18,5.33,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.95,75.02
2017-04-28,6.31,7.25,5.37,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.95,75.02
2017-04-29,6.31,7.25,5.37,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.95,75.02
2017-04-30,6.31,7.25,5.37,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.95,75.02
2017-05-01,6.31,7.25,5.37,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-02,6.32,7.31,5.32,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-03,6.39,7.48,5.31,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-04,6.42,7.51,5.33,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-05,6.28,7.30,5.25,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-06,6.28,7.30,5.25,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-07,6.28,7.30,5.25,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-08,6.20,7.59,4.81,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-09,2.66,7.59,5.32,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-10,6.08,6.93,5.24,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-11,3.64,7.28,5.24,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-12,6.33,7.42,5.24,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-13,6.33,7.42,5.24,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-14,6.33,7.42,5.24,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-15,6.34,7.52,5.16,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-16,3.68,7.37,5.16,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-17,6.88,8.68,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-18,4.03,8.06,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-19,3.70,7.41,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-20,3.70,7.41,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-21,3.70,7.41,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-22,6.21,7.35,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-23,6.17,7.26,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-24,3.72,7.44,5.08,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-25,6.38,7.63,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-26,6.40,7.67,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-27,6.40,7.67,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-28,6.40,7.67,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-29,6.40,7.67,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-30,6.40,7.67,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-05-31,3.81,7.62,5.14,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.91,78.51
2017-06-01,6.23,7.26,5.20,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-02,6.03,6.88,5.19,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-03,6.03,6.88,5.19,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-04,6.03,6.88,5.19,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-05,6.16,6.85,5.47,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-06,6.07,6.86,5.28,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
2017-06-07,6.01,7.13,4.88,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,0.77,78.50
